Pouvez-vous me recommander un bon restaurant,Kan ni rekommendera mig en bra restaurang,Dans le restaurant,I resturangen
Je voudrais réserver une table pour deux personnes pour huit heures,Jag skulle vilja reservera ett bord för två personer till klockan åtta,Dans le restaurant,I resturangen
Est-ce qu’on peut avoir un table pour deux,Kan man få ett bord för två,Dans le restaurant,I resturangen
Est-ce que je peux avoir le menu,Kan jag få menyn,Dans le restaurant,I resturangen
Est-ce que je peux avoir la carte des vins,Kan jag få vinlistan,Dans le restaurant,I resturangen
Est-ce que c’est libre ici,Är det ledigt här,Dans le restaurant,I resturangen
Je voudrais commander,Jag skulle vilja beställa,Dans le restaurant,I resturangen
Je prends le plat du jour,Jag tar dagens rätt,Dans le restaurant,I resturangen
Est-ce que vous avez un plat végétarien,Har ni en vegetarisk rätt,Dans le restaurant,I resturangen
Nous voulons manger à la carte,Vi vill äta à la carte,Dans le restaurant,I resturangen
Est-ce que vous avez un menu enfant,Har ni en barnmeny,Dans le restaurant,I resturangen
Avez-vous des spécialités,Har ni någon specialitet ,Dans le restaurant,I resturangen
Je voudrais seulement un peu de,Jag skulle bara vilja ha en liten,Dans le restaurant,I resturangen
Je voudrais seulement quelque chose de léger,Jag skulle bara vilja ha något lätt,Dans le restaurant,I resturangen
Je voudrais un plat typiquement français,Jag skulle vilja ha en typisk fransk rätt,Dans le restaurant,I resturangen
Je prends la même chose que lui,Jag tar samma sak som honom,Dans le restaurant,I resturangen
Quel vin me recommandez-vous,Vilket vin rekommenderar ni mig,Dans le restaurant,I resturangen
Quel vin nous recommandez-vous,Vilket vin rekommenderar ni oss,Dans le restaurant,I resturangen
Une carafe de vin rouge,En karaff rött vin,Dans le restaurant,I resturangen
Une carafe de vin blanc,En karaff vitt vin,Dans le restaurant,I resturangen
À votre santé,Skål,Dans le restaurant,I resturangen
Est-ce qu’on peut avoir de l’eau minérale,Kan man få mineralvatten,Dans le restaurant,I resturangen
Je voudrais un sandwich,Jag skulle vilja ha en smörgås,Dans le restaurant,I resturangen
Ça suffit merci,Det räcker tack,Dans le restaurant,I resturangen
Est-ce que je peux parler au maître d’hôtel,Kan jag tala med hovmästaren,Dans le restaurant,I resturangen
Est-ce que je peux en avoir un peu plus,Kan jag få lite mer,Dans le restaurant,I resturangen
Est-ce qu’on peut avoir deux cafés,Kan man få två kaffe,Dans le restaurant,I resturangen
L’addition s’il vous plaît,Notan tack,Dans le restaurant,I resturangen
On paye séparément,Vi betalar var för sig,Dans le restaurant,I resturangen
Le service est-il compris,Är service inräknad,Dans le restaurant,I resturangen
Où sont les toilettes pour dames,Var är damtoaletterna,Dans le restaurant,I resturangen
Où sont les toilettes pour hommes,Var är herrtoaletterna,Dans le restaurant,I resturangen
