Ferme la porte s'il te plaît,Stäng dörren tack,Français 2,Svenska 2
Assieds-toi s'il te plaît,Sätt dig tack,Français 2,Svenska 2
Calme-toi,Lunga dig,Français 2,Svenska 2
Silence s'il te plaît,Tystnad tack,Français 2,Svenska 2
Ne parle pas s'il te plaît,Prata inte tack,Français 2,Svenska 2
Écoute s'il te plaît,Lyssna tack,Français 2,Svenska 2
Ne fais pas autant de bruit s'il te plaît,Gör inte så mycket brus tack,Français 2,Svenska 2
Arrête de pleurer,Sluta grina,Français 2,Svenska 2
Pourquoi ris-tu,Varför skrattar du,Français 2,Svenska 2
Attends-moi un moment je reviens tout de suite,Vänta på mig ett ögonblick jag kommer just nu,Français 2,Svenska 2
Reposons-nous dix minutes,Låt oss vila tio minuter,Français 2,Svenska 2
Allons au cinéma,Vi går på bio,Français 2,Svenska 2
Il est interdit de fumer,Det är förbjudet att röka,Français 2,Svenska 2
Allons-y ensemble,Vi går tillsammans,Français 2,Svenska 2
Marche moins vite s'il te plaît,Gå långsammare tack,Français 2,Svenska 2
Ne perds pas de temps,Slösa inte tid,Français 2,Svenska 2
Éteins la musique s'il te plaît,Stäng av musiken tack,Français 2,Svenska 2
Éteins ton téléphone portable s'il te plaît,Stäng av din mobiltelefon tack,Français 2,Svenska 2
Quand est-ce que tu me rendras mon argent,När ska du ge tillbaka mina pengar,Français 2,Svenska 2
J'ai une idée,Jag har en idé,Français 2,Svenska 2
C'est une très bonne idée,Det är en väldigt bra idé,Français 2,Svenska 2
C'est un sujet très intéressant,Det är ett väldigt intressant ämne,Français 2,Svenska 2
Qu'en penses-tu,Vad tror du,Français 2,Svenska 2
J'aimerais bien connaître ton point de vue,Jag skulle vilja gärna veta din åsikt,Français 2,Svenska 2
Je ne comprends pas ce que tu veux dire,Jag förstår inte vad du vill säga,Français 2,Svenska 2
Est-ce que tu es d'accord,Håller du med,Français 2,Svenska 2
Je ne crois pas avoir fait quelque chose de mal,Jag tror inte jag har gjort något fel,Français 2,Svenska 2
Tu as raison,Du har rätt,Français 2,Svenska 2
C'est vraiment ça,Det är verkligen det,Français 2,Svenska 2
Je t'ai envoyé un texto,Jag har skickat dig ett SMS,Français 2,Svenska 2
Quel est ton numéro de téléphone,Vad är ditt telefonnummer,Français 2,Svenska 2
Mon téléphone portable ne fonctionne plus,Min mobiltelefon fungerar inte längre,Français 2,Svenska 2
Qu'est-ce qui s'est passé,Vad hände,Français 2,Svenska 2
Où est-ce que tu as perdu ton portable,Var tappade du din mobiltelefon,Français 2,Svenska 2
Demain je t'enverrai un e-mail,Imorgon jag skickar dig ett mail,Français 2,Svenska 2
J'ai oublié mon mot de passe,Jag har glömt mitt lösenord,Français 2,Svenska 2
J'ai oublié tin nom,Jag har glömt ditt namn,Français 2,Svenska 2
Tu es un imbécile,Du är en imbecill,Français 2,Svenska 2
Tu es un crétin,Du är en idiot,Français 2,Svenska 2
Comment oses-tu me parler comme ça,Hur vågar du prata med mig sådär,Français 2,Svenska 2
As-tu besoin d'aide,Behöver du hjälp,Français 2,Svenska 2
Peux-tu m'aider,Kan du hjälpa mig,Français 2,Svenska 2
Peux-tu appeler une ambulance s'il te plaît,Kan du ringa en ambulans tack,Français 2,Svenska 2
Désolé je ne peux pas t'aider,Ledsen jag kan inte hjälpa dig,Français 2,Svenska 2
Où se trouve l'hôpital,Var befinner sig sjukhuset,Français 2,Svenska 2
Où vas-tu,Var går du,Français 2,Svenska 2
Je dois renter maintenant,Jag måste återvända nu,Français 2,Svenska 2
Comment aller à la poste,Hur kommer jag till posten,Français 2,Svenska 2
Où se trouve la pharmacie la plus proche,Var befinner sig närmsta apotek,Français 2,Svenska 2
Est-ce que cette place est prise,Är denna plats upptagen,Français 2,Svenska 2
J'ai une question,Jag har en fråga,Français 2,Svenska 2
Est-ce que je peux te poser une question,Kan jag ställa dig en fråga,Français 2,Svenska 2
Je ne sais pas,Jag vet inte,Français 2,Svenska 2
Ce n'est pas grave,Det spelar ingen roll,Français 2,Svenska 2
Répète s'il te plaît,Repetera tack,Français 2,Svenska 2
Je suis vraiment désolé de te déranger continue s'il te plaît,Jag är verkligen ledsen att störa dig fortsätt tack,Français 2,Svenska 2
Je suis vraiment désolée de te déranger continue s'il te plaît,Jag är verkligen ledsen(f) att störa dig fortsätt tack,Français 2,Svenska 2
Qu'est-ce que tu viens de dire,Vad sa du nyss,Français 2,Svenska 2
Est-ce que tu est marié,Är du gift,Français 2,Svenska 2
As-tu une copine,Har du en flickvän,Français 2,Svenska 2
As-tu une copain,Har du en pojkvän,Français 2,Svenska 2
J'ai un rêve,Jag har en dröm,Français 2,Svenska 2
Mon rêve c'est de rendre le monde meilleur,Min dröm det är att göra världen bättre,Français 2,Svenska 2
Dessine-moi un mouton,Rita mig ett får,Français 2,Svenska 2
Où es-tu,Var är du,Français 2,Svenska 2
Je dois y aller,Jag måste gå,Français 2,Svenska 2
Ne te prend pas le tête sur ce que disent les autres,Bryr dig inte över vad andra säger,Français 2,Svenska 2
Peu importe ce que tu dis je m'en moque,Oavsett vad du säger jag bryr mig inte,Français 2,Svenska 2
En effet je ne peux rien faire,Faktiskt jag kan inte göra något,Français 2,Svenska 2
Ta phrase est fausse,Din mening är fel,Français 2,Svenska 2
