Est-ce que vous pouvez appeler un médecin,Kan ni ringa efter en läkare,Maladies,Sjukdomar
Un médecin vite,En läkare snabbt,Maladies,Sjukdomar
Appelez une ambulance,Ring en ambulans,Maladies,Sjukdomar
Quelle sont les heures des consultation,Vilka är mottagningstiderna,Maladies,Sjukdomar
Quand puis-je venir,När kan jag komma,Maladies,Sjukdomar
Je suis malade,Jag är sjuk,Maladies,Sjukdomar
Je ne vais pas bien,Jag mår inte bra,Maladies,Sjukdomar
J’ai mal à la gorge,Jag har ont i halsen,Maladies,Sjukdomar
J’ai mal à la tête,Jag har ont i huvudet,Maladies,Sjukdomar
J’ai mal au ventre,Jag har ont i magen,Maladies,Sjukdomar
J’ai mal au cœur,Jag mår illa,Maladies,Sjukdomar
J’ai le nez qui coule et je tousse,Jag har snuva och jag hosta,Maladies,Sjukdomar
Je suis allergique à,Jag är allergisk mot,Maladies,Sjukdomar
Je suis diabétique,Jag är diabetiker,Maladies,Sjukdomar
J’ai oublié ma médicament à la maison,Jag har glömt min medicin hemma,Maladies,Sjukdomar
Je me suis tordu le pied,Jag har vrickat foten,Maladies,Sjukdomar
Ça fait mal ici,Det gör ont här,Maladies,Sjukdomar
Vous pouvez me faire une ordonnance,Kan du ge mig ett recept,Maladies,Sjukdomar
Est-ce que je pourrais avoir un calment pour les douleurs,Skulle jag kunna få ett  lugnande för smärtan,Maladies,Sjukdomar
Trois fois par jour,Tre gånger per dag,Maladies,Sjukdomar
Une gélule pour la nuit,En kapsel till natten,Maladies,Sjukdomar
Est-ce que je peux avoir un certificat pour la sécurité sociale,Kan jag få ett certifikat till försäkringskassan,Maladies,Sjukdomar
Est-ce que je dois garder la chambre,Måste jag behålla rummet,Maladies,Sjukdomar
Combien de temps dois-je rester au lit,Hur länge måste jag stanna kvar i sängen,Maladies,Sjukdomar
