Où est-ce que je peux trouver un dentiste,Var kan jag hitta en tandläkare,Pharmacie,Apotek
J’ai mal aux dents,Jag har tandvärk,Pharmacie,Apotek
J’ai mal à cette dent-là,Jag har ont i denna tand,Pharmacie,Apotek
J’ai perdu un plombage,Jag har tappat en plomb,Pharmacie,Apotek
Je suis allergique aux anesthésiants,Jag är allergisk mot bedövningsmedel,Pharmacie,Apotek
Où est-ce la pharmacie la plus proche,Var är närmaste apotek,Pharmacie,Apotek
Est-ce que vous avez quelque chose d’efficace contre,Har ni något effektivt mot,Pharmacie,Apotek
Est-ce que vous avez quelque chose contre les coups de soleil,Har ni något mot solbränna,Pharmacie,Apotek
Est-ce que vous avez quelque chose contre les piqûres d’insectes,Har ni något mot insektsbett,Pharmacie,Apotek
Je voudrais une boîte d’aspirines,Jag skulle vilja ha en låda av aspirin,Pharmacie,Apotek
Je voudrais un boîte de comprimés contre les maux de tête,Jag skulle vilja ha en låda huvudvärkstabletter,Pharmacie,Apotek
Est-ce que vous pouvez me recommander des comprimés contre les douleurs,Kan ni rekommendera mig tabletter för smärta,Pharmacie,Apotek
Est-ce que c’est sur ordonnance,Är det på recept,Pharmacie,Apotek
Voici l’ordonnance,Här är receptet,Pharmacie,Apotek
Avez-vous quelque chose sans ordonnance contre,Har ni något utan recept mot ,Pharmacie,Apotek
À usage interne,För invärtes bruk,Pharmacie,Apotek
À usage externe,För utvärtes bruk,Pharmacie,Apotek
Quand puis-je venir chercher les médicaments,När kan jag hämta medicinerna,Pharmacie,Apotek
