Quel bus dois-je prendre pour aller à,Vilken buss ska jag ta för att komma till,Transport,Transport
Est-ce qu’il faut changer,Måste man byta,Transport,Transport
Où se trouve l’arrêt de bus le plus proche,Vart ligger närmaste busshållplats,Transport,Transport
Où est l’arrêt de bus le plus proche,Vart är närmaste busshållplats,Transport,Transport
Je vais à,Jag ska till,Transport,Transport
Est-ce que vous pouvez me signaler quand je dois descendre,Kan ni säga till när jag ska stiga utav,Transport,Transport
Tout droit et ensuite à gauche et puis à droite ,Rakt fram och sedan till vänster och sedan till höger,Transport,Transport
Pouvez-vous m’appeler un taxi s’il vous plaît,Kan ni ringa en taxi snälla,Transport,Transport
Pouvez-vous me conduire à,Kan ni köra mig till,Transport,Transport
Tournez à droite et puis allez tous droit vers la village à gauche,Sväng höger och gå sedan rakt mot byn till vänster,Transport,Transport
