Où se trouve l’office du tourisme le plus proche,Vart ligger närmaste turistbyrå,Voyage,Resa
Le plus proche,Närmaste,Voyage,Resa
Où se trouve l’ambassade de Suède,Vart ligger Svenska ambassaden,Voyage,Resa
Combien de temps prend le voyage,Hur lång tid tar resan,Voyage,Resa
À quelle heure arrive-t-on à,Vid vilken tid anländer vi vid,Voyage,Resa
Je voudrais décommander ce billet,Jag skulle vilja avbeställa denna biljett,Voyage,Resa
Quand part le bus pour,När avgår bussen till,Voyage,Resa
Quand part le bateau pour,När avgår båten till,Voyage,Resa
Quand part l’avion pour,När avgår flyget till,Voyage,Resa
Quand part le train pour,När avgår tåget till,Voyage,Resa
Entrée et sortie,Ingång och utgång,Voyage,Resa
Chaud et libre,Varm och fri,Voyage,Resa
Défense de fumer,Rökning förbjudet,Voyage,Resa
Autorisation de fumer,Rökning tillåtet,Voyage,Resa
Fermé et ouvert,Stängt och öppet,Voyage,Resa
