Est-ce que je peux changer mon billet,Kan jag få boka om min biljett,Voyage en avion,Flygresa
Je voudrais un billet pour,Jag skulle vilja ha en biljett till,Voyage en avion,Flygresa
Quand part l’avion pour,När går flygplanet till,Voyage en avion,Flygresa
Est-ce que le vol est direct,Är det direktflyg,Voyage en avion,Flygresa
Il fait escale à,Det mellanlandar i,Voyage en avion,Flygresa
Quand part le bus pour l’aéroport,När avgår bussen till flygplatsen,Voyage en avion,Flygresa
D’où part le bus de l’aéroport,Varifrån avgår bussen från flygplatsen,Voyage en avion,Flygresa
Combien de temps à l’avance faut-il faire enregistrer les bagages,Hur lång tid i förväg måste man checka in,Voyage en avion,Flygresa
Combien de temps à l’avance peut-on faire enregistrer les bagages,Hur lång tid i förväg kan man checka in,Voyage en avion,Flygresa
Est-ce que je peux garder ça comme bagage à main,Kan jag behålla detta som handbagage,Voyage en avion,Flygresa
Est-ce que je dois faire enregistrer ça,Måste jag checka in det här,Voyage en avion,Flygresa
Est-ce que je dois faire enregistrer ce sac,Måste jag checka in denna väska,Voyage en avion,Flygresa
Est-ce que cette valise est trop lourde,Är denna resväska för tung,Voyage en avion,Flygresa
Embarquement porte numéro,Ombordstigningsnummer,Voyage en avion,Flygresa
Désirez-vous boire quelque chose,Vill ni ha något att dricka,Voyage en avion,Flygresa
L'atterrissage a lieu dans dix minutes,Landningen sker om tio minuter,Voyage en avion,Flygresa
