Où est-ce qu’on achète les billets,Var köper man biljetterna,Voyage en train,Tågresa
Combien coûte un billet pour,Hur mycket kostar en biljett till,Voyage en train,Tågresa
Un aller simple de seconde classe pour,En andra klass enkelbiljett till,Voyage en train,Tågresa
Je voudrais un billet de wagon-lit,Jag skulle vilja ha en sovplatsbiljett,Voyage en train,Tågresa
Quand part le train pour,När går tåget till,Voyage en train,Tågresa
Est-ce qu’on doit changer,Måste man byta,Voyage en train,Tågresa
À quelle heure est-ce qu’on arrive,Vid vilken är vi framme,Voyage en train,Tågresa
C’est quel quai,Från vilket spår,Voyage en train,Tågresa
Est-ce que le train a du retard,Är tåget försenat,Voyage en train,Tågresa
Le train pour part du quai numéro dix,Tåget till går från spår 10,Voyage en train,Tågresa
Est-ce que c’est le train pour,Är det här tåget till,Voyage en train,Tågresa
C’est libre ici,Är det ledigt här,Voyage en train,Tågresa
Oui c’est libre,Ja det är ledigt,Voyage en train,Tågresa
Non c’est occupé,Nej det är upptaget,Voyage en train,Tågresa
Excusez-moi cette place est réservée,Ursäkta mig denna plats är reserverad,Voyage en train,Tågresa
Contrôle des billets,Biljettkontroll,Voyage en train,Tågresa
Est-ce que je peux ouvrir la fenêtre,Kan jag stänga fönstret,Voyage en train,Tågresa
Est-ce que je peux fermer la fenêtre,Kan jag öppna fönstret,Voyage en train,Tågresa
Il y a un courant d’air,Det drar,Voyage en train,Tågresa
Où se trouve le wagon-restaurant,Vart är bistron,Voyage en train,Tågresa
Où est le wagon-lit pour,Var är sovvagnen till,Voyage en train,Tågresa
Pardon est-ce que ça vous dérange si je fume,Förlåt har du något emot om jag röker,Voyage en train,Tågresa
